,Tensión: L1 (V),Tensión: L2 (V),Tensión: L3 (V),Tensión: L1 - L2 (V),Tensión: L2 - L3 (V),Tensión: L3 - L1 (V),Corriente: L1 (A),Corriente: L2 (A),Corriente: L3 (A),Factor de potencia: L1 +,Factor de potencia: L2 +,Factor de potencia: L3 +,Flicker (Pst): L1 (Pst),Flicker (Pst): L2 (Pst),Flicker (Pst): L3 (Pst),Distorsión armónica: VL1 (%V THD),Distorsión armónica: VL2 (%V THD),Distorsión armónica: VL3 (%V THD),Distorsión armónica: IL1 (%I THD),Distorsión armónica: IL2 (%I THD),Distorsión armónica: IL3 (%I THD),Armónicos IL1: Armónico 2 (%IL1),Armónicos IL1: Armónico 3 (%IL1),Armónicos IL1: Armónico 5 (%IL1),Armónicos IL1: Armónico 6 (%IL1),Armónicos IL1: Armónico 7 (%IL1),Armónicos IL1: Armónico 11 (%IL1),Armónicos IL1: Armónico 13 (%IL1),Armónicos IL2: Armónico 2 (%IL2),Armónicos IL2: Armónico 3 (%IL2),Armónicos IL2: Armónico 5 (%IL2),Armónicos IL2: Armónico 7 (%IL2),Armónicos IL2: Armónico 9 (%IL2),Armónicos IL2: Armónico 11 (%IL2),Armónicos IL2: Armónico 13 (%IL2),Armónicos VL1: Armónico 2 (%VL1),Armónicos VL1: Armónico 3 (%VL1),Armónicos VL1: Armónico 5 (%VL1),Armónicos VL1: Armónico 7 (%VL1),Armónicos VL1: Armónico 9 (%VL1),Armónicos VL1: Armónico 11 (%VL1),Armónicos VL1: Armónico 13 (%VL1),Armónicos VL2: Armónico 2 (%VL2),Armónicos VL2: Armónico 3 (%VL2),Armónicos VL2: Armónico 5 (%VL2),Armónicos VL2: Armónico 7 (%VL2),Armónicos VL2: Armónico 9 (%VL2),Armónicos VL2: Armónico 11 (%VL2),Armónicos VL2: Armónico 13 (%VL2),Armónicos VL3: Armónico 2 (%VL3),Armónicos VL3: Armónico 3 (%VL3),Armónicos VL3: Armónico 5 (%VL3),Armónicos VL3: Armónico 7 (%VL3),Armónicos VL3: Armónico 9 (%VL3),Armónicos VL3: Armónico 11 (%VL3),Armónicos VL3: Armónico 13 (%VL3)
Tensión: L1 (V),1.0,0.9863914072351382,0.9904184189134239,0.9921273782105832,0.9936633618799238,0.9926250181827259,-0.4191247544498603,-0.694750066668279,-0.7091194323830233,0.3478735891480023,0.2858874812985534,0.2609601699950498,0.31146228510209845,0.15884876741919504,0.21307966945743234,0.7649819505230774,0.8064217809723401,0.781920252629689,-0.413014290405618,-0.15573793620934254,-0.010455004687850628,-0.3524943699774367,-0.4729408242490296,-0.26897584827456356,-0.005433180883137866,-0.45178726735638775,0.037835107236190955,-0.004115942152343791,0.006552245556282635,-0.22267590558533665,-0.1217804501405794,-0.38387460870858847,0.006919010837415938,0.10095868214336705,-0.12799691035439326,0.00808628220614367,-0.12798852480374606,0.8699289097236165,0.22039334850638964,-0.0010107985665796417,0.44052890890107677,-0.09837323505570893,0.00853175610560009,0.6404073617802093,0.8754195805937676,0.31728614848976205,0.17065560776233069,0.26593633510302506,0.41132711191515026,0.012197000514456241,-0.50674431719581,0.8745789175632422,0.25313980139417686,-0.012952531735644217,0.24126636001716378,0.03339310746257489
Tensión: L2 (V),0.9863914072351382,1.0,0.9738523414490702,0.9980054478506563,0.9968689834857736,0.9668700006512959,-0.4213923203061751,-0.7007797709828326,-0.7218943506843892,0.35630667203611865,0.3150793185930298,0.30399703319767596,0.2979279852617321,0.16192747554336248,0.2192429003305009,0.7713636724526735,0.8201898991754795,0.7777240617459277,-0.41792582880921786,-0.15590179550190575,0.011746470829470465,-0.35310940901556614,-0.45204514772150683,-0.28421322317436065,0.009700749857619657,-0.45075723212656715,0.028753094559017395,-0.007692484565799128,0.007341771003374789,-0.20228694617679072,-0.12328013926154194,-0.391014770715436,0.006118368308696236,0.10344129777571151,-0.12883111774577827,0.007598882540367704,-0.04524538531293023,0.8855241665803005,0.2085119371512484,-0.0014804490958620724,0.4061939846134273,-0.06966980537356826,0.00914909005651047,0.6743011787618655,0.8909112007626487,0.32418314685003063,0.21118139991750476,0.18063763216510856,0.43901684143359804,0.012503107873027094,-0.48217131073118336,0.891373011002447,0.22725505823901437,-0.013272828991997462,0.19138944561902177,0.04378123745137362
Tensión: L3 (V),0.9904184189134239,0.9738523414490702,1.0,0.9824187295182302,0.9872518844504689,0.9964821534377726,-0.4450365793820669,-0.7021535099597347,-0.712925050809128,0.31715878144231563,0.2513169005954231,0.21847513670652546,0.3110547804394468,0.14080047673597845,0.2066960487300078,0.7490223785291883,0.7887745910101742,0.7727443906225452,-0.41376458624240475,-0.19816744902308683,-0.06046098674693516,-0.3271262190927728,-0.48903381969865606,-0.29201164172364547,0.021866395122169466,-0.49300411518603665,0.02726626124955778,-0.02337620301817942,0.004440585355923732,-0.2642836121954736,-0.16451357394085447,-0.4160918743648465,0.004664442377316475,0.1005651615643463,-0.16119797712851935,0.007304446175248638,-0.17768741480100822,0.8755322767857742,0.19364440726491386,-0.004234595879661642,0.4889325707400118,-0.10821865640262407,0.009126750808750054,0.6311606394531791,0.8822306161221959,0.28347862885931935,0.1279067285681207,0.31588147265594657,0.40783831237009066,0.010669570355276726,-0.5413937931870578,0.8812273999506671,0.23087393090456362,-0.016631876846058644,0.29001502068282303,0.03976927972113786
Tensión: L1 - L2 (V),0.9921273782105832,0.9980054478506563,0.9824187295182302,1.0,0.9977073031621327,0.9762942126641662,-0.4158159891997729,-0.6925169865041724,-0.7115815659475805,0.3421486156495915,0.29392603944204865,0.2790818221501289,0.2989152237248384,0.1613699140507425,0.219511515934916,0.7750926798131611,0.8220836586973127,0.7846602234398317,-0.4189745891748796,-0.16842046053763599,-0.00759455546983342,-0.3516673424396455,-0.4587892906375076,-0.286395288542415,0.018110982477997393,-0.46104635599304505,0.03240150097385602,-0.00963035351625376,0.007153704812749972,-0.21287885699397724,-0.13520640010471138,-0.4026625678538483,0.007749411846811519,0.09366734630289308,-0.1313319200050815,0.007844339961567911,-0.06585983790246232,0.8847075716701458,0.21869399971254555,-7.744346969315587e-05,0.41513346315537963,-0.07825304453327057,0.009382090013749749,0.6668466551472236,0.8911509550043621,0.32834220468331254,0.20375408384989557,0.20609952293052322,0.4284529915851445,0.012492571361834357,-0.49373885193504075,0.8918239326766401,0.24025923108716055,-0.012498896513611774,0.20250198132518418,0.032511770570943205
Tensión: L2 - L3 (V),0.9936633618799238,0.9968689834857736,0.9872518844504689,0.9977073031621327,1.0,0.9816649283241596,-0.4270596215504789,-0.7114383635468351,-0.7293491567660233,0.35650006577419946,0.3034814331567046,0.28642891565822987,0.30141865202359946,0.15656324191750212,0.21343271592329413,0.7632602962301547,0.8106227504493569,0.7763996053639922,-0.42631666641613647,-0.16640458179062972,-0.006796862105168584,-0.35882387623476353,-0.4777928388180536,-0.2880188972306431,0.004824247669083061,-0.4649765900694833,0.029791553033069334,-0.008240743400889136,0.006229909224496551,-0.22278640468183442,-0.13346905742205048,-0.39633337381222455,0.004519732759271722,0.10340161936413138,-0.14052284740492058,0.0070041134059759405,-0.09101302861189041,0.8861131481729948,0.19726564994439125,-0.0038042863773233015,0.4370517526615833,-0.08381287912188104,0.008985510990560237,0.6663975388679033,0.8919978118003757,0.3068484151786743,0.1845677702218821,0.22433564283696777,0.4303532493701754,0.011904717379027516,-0.5035711720963567,0.8916066638882759,0.22360878353680563,-0.015705363378421478,0.2290143376143273,0.036830540206575994
Tensión: L3 - L1 (V),0.9926250181827259,0.9668700006512959,0.9964821534377726,0.9762942126641662,0.9816649283241596,1.0,-0.4454646650810247,-0.6954223045707559,-0.7046391204424791,0.32275019320732146,0.2553120989039102,0.21786352902843714,0.32145335517530577,0.14342072564121214,0.20649037498980571,0.7481163764906482,0.7836202529638284,0.7724831972474807,-0.39903955571122424,-0.17527720697336002,-0.04502466269334476,-0.3209518961135823,-0.4772776976618802,-0.2710969040129151,0.0031721915687836152,-0.47047026196252756,0.03123032908684082,-0.01812965278466985,0.004930321824905937,-0.2546279082731678,-0.14112472767079215,-0.39246237960236013,0.0053793981037261384,0.10907154633710861,-0.14689048189166873,0.008161348009321747,-0.19579621195680882,0.8617092424158888,0.20651936226781506,-0.0028969696775213937,0.4854998930379943,-0.1147173175210263,0.008448350518485491,0.6130824141687538,0.8668729404187837,0.2895410666375207,0.12010694856827796,0.3339002737858825,0.4003937637553646,0.010965485073096987,-0.5345069051193939,0.8651665580003125,0.24749165565831877,-0.014707095928005365,0.2927928959956355,0.049387175181256966
Corriente: L1 (A),-0.4191247544498603,-0.4213923203061751,-0.4450365793820669,-0.4158159891997729,-0.4270596215504789,-0.4454646650810247,1.0,0.7411368183798261,0.7346167099441406,-0.3024359014600156,-0.5053946870457832,-0.3886394862056998,-0.08800292595831546,0.1502027855949376,0.034417725615054434,-0.03228573819317064,-0.06198757426580231,-0.03613388209253996,-0.04019053308604184,0.048199410477989556,-0.07399237905524693,-0.33553957103811766,-0.020262350073571314,0.11659242403751659,-0.0732846861463986,0.11992213399144462,0.11727054670469132,0.49981141569818893,0.012938073362900102,0.2696547249293279,0.04335107956496879,0.03736659361441615,0.002917558978825986,-0.11679566498708516,0.18766386944883642,0.005006240043593027,0.4154382626168719,-0.258707498909856,0.27482837063122334,0.005788335968481016,-0.27146346340029165,0.3145001200748377,0.006008314220875604,-0.3968018396404214,-0.27487563075226473,0.24540805119817852,0.3583044250608009,-0.013840223587243745,-0.13540539192613127,0.0030418809725118994,0.4382839104071736,-0.25538865527924615,0.30040636874987175,0.007391172452049137,-0.19367234958413215,0.004963787514879369
Corriente: L2 (A),-0.694750066668279,-0.7007797709828326,-0.7021535099597347,-0.6925169865041724,-0.7114383635468351,-0.6954223045707559,0.7411368183798261,1.0,0.9973768857682345,-0.6389187567801011,-0.591365465689295,-0.507020772369144,-0.0950192590230321,0.04586495373809438,-0.0036653487779035963,-0.20077016735547817,-0.2676227168264909,-0.23656625223460925,0.5094774617483531,0.2687121906601671,0.09411938258202339,0.3275931524522199,0.5825699003963764,0.4303267151858266,0.039445850313592046,0.4515291459751013,0.04493895921543436,0.19508707811170928,0.017560557350698232,0.4655090700324421,0.2574464707699422,0.31385722164896646,0.004293905440443932,-0.1682689550814324,0.33852274236972835,0.016513798797615685,0.4725535692707059,-0.623626218006119,0.42789668371587514,0.012434448100138084,-0.5517818198619513,0.12890941978739934,0.007014356053316249,-0.6754735471622424,-0.648821711681428,0.33241509769384325,0.2635723063293365,-0.13776248065530122,-0.44802779652355607,0.004683753619553318,0.6946539499245128,-0.6291625436572197,0.40393814817621426,0.019283356547628482,-0.412082450862881,-0.04636197031983728
Corriente: L3 (A),-0.7091194323830233,-0.7218943506843892,-0.712925050809128,-0.7115815659475805,-0.7293491567660233,-0.7046391204424791,0.7346167099441406,0.9973768857682345,1.0,-0.6275487875489936,-0.5993701970588808,-0.5267939310886728,-0.10528533118399747,0.0317446819983064,-0.01711572536021374,-0.2277038780489256,-0.29530015559350037,-0.25789769027046106,0.49196069944911264,0.2358723299845811,0.053442283622097325,0.3245792810502239,0.5690044161142375,0.40290171182111284,0.027115243784705208,0.43112301068277253,0.04494543411776506,0.18872558363782876,0.015312849786919493,0.4286948940367792,0.2240160411627101,0.29262893414949703,0.011162237564760586,-0.17384127696218962,0.30756644697400476,0.015583287421093023,0.41866185659681254,-0.6344840677871445,0.3985881999972821,0.01927323860369058,-0.5276909791435517,0.11257503169191488,0.005708134368856721,-0.6743666224545205,-0.6584841321045461,0.29633716658541587,0.21968119010331028,-0.1079722808836968,-0.4544792302315181,0.003199918897813153,0.6660115378715299,-0.6402181213292335,0.3790234838723188,0.023987721282779064,-0.3734784486044398,-0.045990048882393955
Factor de potencia: L1 +,0.3478735891480023,0.35630667203611865,0.31715878144231563,0.3421486156495915,0.35650006577419946,0.32275019320732146,-0.3024359014600156,-0.6389187567801011,-0.6275487875489936,1.0,0.8647578955679324,0.8040366517393873,-0.05731470037632065,-0.021372445695622112,0.02738686095450411,0.027648704929617986,0.086846400528377,0.07008174828429731,-0.4618673059905939,-0.0945670958251684,0.06384916430258207,-0.3603902884399521,-0.43483682002956187,-0.35731448586713677,-0.05005768646198269,-0.17354320274440052,0.01597115952490157,0.07187323608482406,-0.018594396582715073,-0.24186149515992442,-0.0750416390434653,-0.2243916289568797,-0.04172332480923087,0.06389734287703183,-0.08015947920068062,-0.015715717141611428,-0.3353358906044783,0.28443135701270933,-0.3562168044143578,-0.041340785413619005,0.22176162833486684,0.04867931299457288,-0.020597545440969128,0.5498893330066146,0.3070099359801898,-0.2707618689282863,-0.02707739195197316,0.04400598155964651,0.4297691182632442,-0.018518060226600054,-0.32002365801134425,0.2927817878046168,-0.31340434528026767,-0.024624965351697194,0.25601826606624284,0.10158298807834112
