,Tensión: L1 (V),Tensión: L2 (V),Tensión: L3 (V),Tensión: L1 - L2 (V),Tensión: L2 - L3 (V),Tensión: L3 - L1 (V),Corriente: L1 (A),Corriente: L2 (A),Corriente: L3 (A),Factor de potencia: L1 +,Factor de potencia: L2 +,Factor de potencia: L3 +,Flicker (Pst): L1 (Pst),Flicker (Pst): L2 (Pst),Flicker (Pst): L3 (Pst),Distorsión armónica: VL1 (%V THD),Distorsión armónica: VL2 (%V THD),Distorsión armónica: VL3 (%V THD),Distorsión armónica: IL1 (%I THD),Distorsión armónica: IL2 (%I THD),Distorsión armónica: IL3 (%I THD),Armónicos IL1: Armónico 2 (%IL1),Armónicos IL1: Armónico 3 (%IL1),Armónicos IL1: Armónico 5 (%IL1),Armónicos IL1: Armónico 6 (%IL1),Armónicos IL1: Armónico 7 (%IL1),Armónicos IL1: Armónico 11 (%IL1),Armónicos IL1: Armónico 13 (%IL1),Armónicos IL2: Armónico 2 (%IL2),Armónicos IL2: Armónico 3 (%IL2),Armónicos IL2: Armónico 5 (%IL2),Armónicos IL2: Armónico 7 (%IL2),Armónicos IL2: Armónico 9 (%IL2),Armónicos IL2: Armónico 11 (%IL2),Armónicos IL2: Armónico 13 (%IL2),Armónicos VL1: Armónico 2 (%VL1),Armónicos VL1: Armónico 3 (%VL1),Armónicos VL1: Armónico 5 (%VL1),Armónicos VL1: Armónico 7 (%VL1),Armónicos VL1: Armónico 9 (%VL1),Armónicos VL1: Armónico 11 (%VL1),Armónicos VL1: Armónico 13 (%VL1),Armónicos VL2: Armónico 2 (%VL2),Armónicos VL2: Armónico 3 (%VL2),Armónicos VL2: Armónico 5 (%VL2),Armónicos VL2: Armónico 7 (%VL2),Armónicos VL2: Armónico 9 (%VL2),Armónicos VL2: Armónico 11 (%VL2),Armónicos VL2: Armónico 13 (%VL2),Armónicos VL3: Armónico 2 (%VL3),Armónicos VL3: Armónico 3 (%VL3),Armónicos VL3: Armónico 5 (%VL3),Armónicos VL3: Armónico 7 (%VL3),Armónicos VL3: Armónico 9 (%VL3),Armónicos VL3: Armónico 11 (%VL3),Armónicos VL3: Armónico 13 (%VL3)
Tensión: L1 (V),6.02494729559489,6.679527400273091,6.167237087250528,11.292519878968525,11.244041352632074,10.161359265834605,-106.77711303815859,-237.6420190389266,-231.56014103305287,0.04123720720799173,0.029322369942851815,0.02236997717014268,0.10920175572511602,0.05731258470731803,0.07537866546282428,0.5922849165685039,0.7498254590114998,0.5755110683091328,-4.869661408142591,-1.029011159803511,-0.0647991949475492,-3.705246305137376,-3.0338886528928892,-2.12200352558332,-0.003734078919342484,-1.5584357808324285,0.003950949011448867,-0.0016066751276900867,0.000464382837576987,-0.5631115979762581,-0.7088848626525253,-1.2196740114586662,0.00024198018935903636,0.04314870501624539,-0.1312662748785273,7.04420600336482e-05,-0.03313560908189072,0.7554125135868655,0.1380120079455953,-5.084655343723076e-06,0.09623401380437349,-0.008078654116737027,9.595051576155036e-05,0.08864645027314945,0.9145942111223427,0.22885290471601044,0.03194164790688714,0.0466118622802713,0.04451032125215301,0.0001371452459992548,-0.13864491352065264,0.7698582350430723,0.14702687049613294,-5.320302886593707e-05,0.04875525852407904,0.0005124222493926842
Tensión: L2 (V),6.679527400273091,7.610963840057237,6.815665249290306,12.767314147605832,12.678399840311416,11.124432835078299,-120.66037820550993,-269.4135263670907,-264.94837794606207,0.04747171755362282,0.036321772253923267,0.029288954050013763,0.11740285502073677,0.06566438696217877,0.08717163097699517,0.6712462455336424,0.8571474796976625,0.6433687425789528,-5.538295222385268,-1.1577638623296973,0.08182687887085922,-4.17174151434275,-3.259251310242622,-2.520114646141333,0.007493381396810206,-1.7475951483268002,0.0033746928515139478,-0.0033749601170814064,0.0005848305265251237,-0.5749529497081006,-0.8065558530119797,-1.39633861970779,0.00024049974562013473,0.049689114463878276,-0.14849699053126372,7.44005402188887e-05,-0.013165623120835003,0.8642592415400552,0.14675486844226554,-8.370156632881794e-06,0.09973116159221013,-0.006430575792843401,0.00011564583262236315,0.10490644155715777,1.046140014796003,0.2628082250208582,0.044425837325547765,0.03558526548275101,0.053394654002197436,0.0001580115732051106,-0.14827216315457695,0.8818900429209635,0.14835187509536793,-6.127571599988606e-05,0.043469623553104214,0.0007550963642703974
Tensión: L3 (V),6.167237087250528,6.815665249290306,6.435623365031776,11.556830581741448,11.545953721163583,10.542771611140465,-117.17885639937755,-248.22492683904088,-240.60629060281946,0.03885645816441689,0.0266406188473709,0.019355839748334564,0.11271448195746578,0.05250358453786225,0.07557136874410875,0.5993671846640911,0.7580005637936452,0.5878219016748276,-5.04203304382669,-1.3532457509344569,-0.3872926838036708,-3.5538487124887768,-3.242279211928434,-2.380957618922095,0.015531922103668574,-1.757616625224519,0.002942732129961627,-0.009430863573548684,0.000325270668413006,-0.6907329329547252,-0.9897341342670659,-1.3663510719649858,0.00016859869840668679,0.04442120472891585,-0.17085667310755678,6.576413789153778e-05,-0.047544389717797224,0.7857624229554583,0.12532624666727077,-2.2015449507067495e-05,0.11038799356460129,-0.00918507870869956,0.00010608250301941185,0.09029498395072923,0.9526053160096134,0.21132181080806503,0.024742799127773225,0.05722181290664982,0.04561210310759227,0.00012399190456185307,-0.1530900660446225,0.801712087515303,0.13858935048602833,-7.060600462002448e-05,0.060570877741938346,0.0006307213797155899
Tensión: L1 - L2 (V),11.292519878968525,12.767314147605832,11.556830581741448,21.502730242223755,21.32831202602087,18.880673481030552,-200.12724868829036,-447.5022715389612,-438.9744917798156,0.07662187077267536,0.05695241835210491,0.04519527583779624,0.19798959476914976,0.1099914406765367,0.14670128433981064,1.133713445025118,1.4440562993633244,1.0910459292553316,-9.332361379782272,-2.1022806710921307,-0.08892377971213634,-6.983403153604251,-5.560019089728036,-4.268436860701431,0.023514812282566026,-3.0044826104591102,0.006392073527352387,-0.007101845420985902,0.0009578272507714843,-1.0170070230024506,-1.4868445134166248,-2.416939721837482,0.0005120056116551144,0.07562797758789834,-0.25444513112624945,0.0001290950941362406,-0.032211782592885846,1.4513439016497238,0.25871727953189394,-7.359560544555688e-07,0.1713215939281467,-0.01214041356635078,0.00019933274808312941,0.1743818128399659,1.758869613256309,0.4474064114905168,0.07204656069401574,0.06824423014689701,0.08758843152160736,0.0002653687213577498,-0.2552010954220647,1.4830679702016645,0.2636249669423854,-9.69892368094131e-05,0.0773079479488196,0.0009425012660154373
Tensión: L2 - L3 (V),11.244041352632074,12.678399840311416,11.545953721163583,21.32831202602087,21.252648640603415,18.873818311876775,-204.33994797133533,-457.04800944407884,-447.31123760831156,0.07937016924321891,0.0584609625345727,0.04611456095702532,0.19848339679100874,0.10609278651272853,0.14180688777121264,1.1098954248692894,1.4156197922832487,1.073263671868411,-9.440519705731331,-2.065003797183345,-0.07911953798183566,-7.083960590871277,-5.756551243637069,-4.267599971659299,0.00622714286106545,-3.0124227378530173,0.005842914138068066,-0.0060416436312657005,0.0008292731796541618,-1.0581319672134355,-1.4591791857843819,-2.3650750828156495,0.00029687830600661695,0.0830006203965972,-0.27066401550677666,0.00011459514767957253,-0.04425449569829334,1.4451718609583584,0.23200629245956894,-3.594181546025503e-05,0.17931513926954346,-0.012927148136946969,0.00018979360123828358,0.17324803735245686,1.750273373292742,0.4156799774608064,0.06488174546950833,0.07384939823569811,0.08746380847255579,0.0002514066206233224,-0.2587651698657337,1.4740593382710874,0.24392428592218288,-0.00012116008985865728,0.0869195099549412,0.0010614734536861926
Tensión: L3 - L1 (V),10.161359265834605,11.124432835078299,10.542771611140465,18.880673481030552,18.873818311876775,17.39321746900861,-192.82416563500237,-404.1630345903348,-390.95296117047684,0.06500513062513906,0.044492689982140426,0.03173139650367919,0.19149412562560386,0.08792075291144319,0.12411365927101833,0.984151556463504,1.2379893885547495,0.9660366372119495,-7.993978436589591,-1.9677252162228829,-0.474142825919053,-5.732158375962063,-5.202083419453764,-3.6338810783548814,0.003704265206993065,-2.7574042355129973,0.0055411046676057405,-0.012024350644893156,0.0005937103254689324,-1.0940586014324507,-1.3957723214898625,-2.118681885721659,0.00031965597329815785,0.07920432569330761,-0.2559532611027889,0.00012079762306827235,-0.0861274417034703,1.2713774363099113,0.21973159280236396,-2.4760202358495354e-05,0.18020077837884915,-0.016006794943155805,0.00016143367863879875,0.14419069334497558,1.538795742069408,0.35483693854519827,0.03819602994817868,0.09943720024069001,0.07361630827936837,0.00020949270339700214,-0.24847443494132007,1.293971815672075,0.24423628006026665,-0.00010264125535384303,0.10053066705186486,0.0012876524759182473
Corriente: L1 (A),-106.77711303815859,-120.66037820550993,-117.17885639937755,-200.12724868829036,-204.33994797133533,-192.82416563500237,10772.499259287066,10719.502639970815,10143.47660332559,-1.515942543934365,-2.191877167235246,-1.4087043248719167,-1.3046766136607286,2.291531032484133,0.5148375419883682,-1.0569922807380905,-2.4371608029852494,-1.1245724811588282,-20.037293692752268,13.466322355027993,-19.391614998487864,-149.1386657305801,-5.496221902871208,38.89419231996398,-2.1297281493188236,17.491855547069694,0.5178178484837431,8.249860212047286,0.03877369731816544,28.83439807808854,10.67037432524614,5.0201824656371015,0.004314565394845792,-2.1107287580261063,8.137967506218288,0.0018440658885035585,4.5479117441907455,-9.499287649141715,7.2771539831728775,0.001231210310759228,-2.507536033564806,1.0921052296342146,0.0028572163664513537,-2.322524591766407,-12.143113133257785,7.4847230167686725,2.835766948583102,-0.10257546436583291,-0.6195708284938396,0.001446277208544811,5.0705164066578865,-9.505937779901211,7.377802483861493,0.0012837387132419136,-1.6549082585786032,0.003220816157298933
Corriente: L2 (A),-237.6420190389266,-269.4135263670907,-248.22492683904088,-447.5022715389612,-457.04800944407884,-404.1630345903348,10719.502639970815,19419.409535207236,18490.348731301256,-4.299864887284809,-3.4435094060149765,-2.4675073274408197,-1.8913729736711935,0.9394820562052018,-0.07361445827679855,-8.825108424660995,-14.127401637759146,-9.885198449400763,341.0358599184024,100.79858214382797,33.11813195736771,195.49745025541927,212.1691615583973,192.74028993655998,1.5391184176121093,88.42643105505472,0.2664224697637071,4.3234326371915515,0.07065870538104614,66.83297235728348,85.07979885766376,56.614528332425245,0.00852569244474151,-4.082906883475981,19.709831383767618,0.008167168718768844,6.945705363394487,-30.744409810550756,15.212433614857513,0.0035511155253307005,-6.8432586976143215,0.6010188576873126,0.004478556660025725,-5.308291503006466,-38.483888749035515,13.612172400824214,2.8007730274185025,-1.370853716711442,-2.7524518864316483,0.0029899446012826075,10.790087037453267,-31.442422520521987,13.319641399548196,0.004496822114926353,-4.727703106807771,-0.040390052001755744
Corriente: L3 (A),-231.56014103305287,-264.94837794606207,-240.60629060281946,-438.9744917798156,-447.31123760831156,-390.95296117047684,10143.47660332559,18490.348731301256,17698.46433966065,-4.031869328221416,-3.3318868238667547,-2.447503061871379,-2.000705607779591,0.6207665300664458,-0.32816548766208575,-9.555228525691183,-14.881707869771631,-10.287973514996242,314.3802562001022,84.46831544044593,17.952360158896216,184.917008255715,197.83341015511093,172.27533153106077,1.0100293836397458,80.60227382350783,0.25438013985597024,3.992829373990179,0.058821105801233786,58.75715001837731,70.67542229811123,50.39214154731207,0.021158176184631526,-4.026875134358462,17.095578298436028,0.0073575530422223525,5.874602504102048,-29.861546712890462,13.528012476655697,0.005254637578319383,-6.2477698511416895,0.5010664276241235,0.0034793188974231322,-5.059321374537775,-37.2862470131646,11.584641718062382,2.228541846370253,-1.0257043975747422,-2.6654994653119624,0.0019501043604670527,9.87615673282897,-30.54434980145818,11.931459293690867,0.005340253250158766,-4.0905471612423145,-0.03824953687958864
Factor de potencia: L1 +,0.04123720720799173,0.04747171755362282,0.03885645816441689,0.07662187077267536,0.07937016924321891,0.06500513062513906,-1.515942543934365,-4.299864887284809,-4.031869328221416,0.0023322887734340348,0.0017450705965707952,0.0013560687109040507,-0.00039537091388859244,-0.00015171722922469616,0.00019061769844473303,0.0004211810404038423,0.0015887819264381313,0.0010148706212634948,-0.10714340465776004,-0.01229363334663089,0.007786013108506247,-0.07453367103093864,-0.054882473907921926,-0.055462312479676056,-0.0006768846056837526,-0.01177814961105572,3.281386886080576e-05,0.000552001861660502,-2.5928812079375936e-05,-0.012033792348755772,-0.008594388342929919,-0.014027347935953538,-2.870973904195493e-05,0.0005373056739850405,-0.0016174210686935471,-2.6935924909103834e-06,-0.0017081204701457678,0.004859509317520598,-0.004388815552828049,-4.09157165176672e-06,0.0009531365488360299,7.865404024654233e-05,-4.55762812056625e-06,0.0014975966633677703,0.006310723580287735,-0.003842442295781216,-9.971445517010856e-05,0.00015175570354174415,0.0009150042952344085,-4.09673377823331e-06,-0.001722708013887532,0.0050707283933038375,-0.003581424717485368,-1.9900860498239355e-06,0.0010179118688506076,3.066949759878741e-05
