,count,mean,std,min,25%,50%,75%,max
Tensión: L1 (V),7141.0,264.7343481305139,2.4545768058048,258.96,263.04,264.48,266.29,270.97
Tensión: L2 (V),7141.0,269.2725430611959,2.7587975351694873,262.86,267.36,269.0,270.89,276.61
Tensión: L3 (V),7141.0,267.2606343649349,2.53685304364123,261.3,265.46,266.99,268.94,273.87
Tensión: L1 - L2 (V),7141.0,463.34751575409604,4.637103647992328,452.54,460.15,462.89,466.08,475.55
Tensión: L2 - L3 (V),7141.0,466.19541520795406,4.610059505104399,455.27,463.02,465.68,468.94,478.02
Tensión: L3 - L1 (V),7141.0,458.47929281613216,4.170517650005645,448.76,455.5,458.09,461.32,469.13
Corriente: L1 (A),7141.0,187.67052793726373,103.79065111698198,28.76,125.76,163.92,201.56,477.28
Corriente: L2 (A),7141.0,399.2034504971292,139.3535415237347,48.6,305.4,426.2,518.28,613.36
Corriente: L3 (A),7141.0,392.07295896933203,133.0355754663415,52.12,305.76,417.0,507.88,630.72
Factor de potencia: L1 +,7141.0,0.7370460719787143,0.04829377572145332,0.587,0.712,0.729,0.75,0.931
Factor de potencia: L2 +,7141.0,0.7547596975213555,0.041785663646842976,0.442,0.729,0.744,0.765,0.907
Factor de potencia: L3 +,7141.0,0.8077823834196891,0.03492325283779127,0.542,0.784,0.797,0.822,0.936
Flicker (Pst): L1 (Pst),7141.0,0.2654964290715586,0.1428392395022755,0.14,0.14,0.14,0.46,1.56
Flicker (Pst): L2 (Pst),7141.0,0.29878728469402044,0.14699058540206503,0.14,0.14,0.3,0.46,2.16
Flicker (Pst): L3 (Pst),7141.0,0.2711539000140037,0.14412184186675203,0.14,0.14,0.3,0.46,1.89
Distorsión armónica: VL1 (%V THD),7141.0,1.3400224058255144,0.3154299001471995,0.7,1.1,1.3,1.6,2.2
Distorsión armónica: VL2 (%V THD),7141.0,1.7024226298837697,0.378809887889541,1.0,1.4,1.7,2.0,2.7
Distorsión armónica: VL3 (%V THD),7141.0,1.2672454838257947,0.2998572766632596,0.7,1.0,1.2,1.5,2.1
Distorsión armónica: IL1 (%I THD),7141.0,10.528903514913877,4.80349187755326,0.0,7.2,12.0,14.3,19.1
Distorsión armónica: IL2 (%I THD),7141.0,8.033258647248285,2.6918387671549606,2.4,6.5,8.0,9.3,15.8
Distorsión armónica: IL3 (%I THD),7141.0,7.775885730289876,2.5250428490902337,2.5,6.3,7.6,8.8,16.6
Armónicos IL1: Armónico 2 (%IL1),7141.0,5.3045931942305,4.282410270296547,0.0,0.0,7.6,8.9,11.8
Armónicos IL1: Armónico 3 (%IL1),7141.0,3.351561405965551,2.6134621073051387,0.0,0.0,4.2,5.8,12.3
Armónicos IL1: Armónico 5 (%IL1),7141.0,7.399425850721188,3.2140763502369345,0.0,5.6,7.4,9.3,15.5
Armónicos IL1: Armónico 6 (%IL1),7141.0,0.04880268869906175,0.27999656435176534,0.0,0.0,0.0,0.0,2.0
Armónicos IL1: Armónico 7 (%IL1),7141.0,2.0385660271670636,1.4053299360464098,0.0,0.0,2.3,3.0,5.7
Armónicos IL1: Armónico 11 (%IL1),7141.0,0.003066797367315502,0.042543168285153685,0.0,0.0,0.0,0.0,0.6
Armónicos IL1: Armónico 13 (%IL1),7141.0,0.04378938524016244,0.15903114366317717,0.0,0.0,0.0,0.0,1.2
Armónicos IL2: Armónico 2 (%IL2),7141.0,0.0010082621481585213,0.028874160743095262,0.0,0.0,0.0,0.0,1.2
Armónicos IL2: Armónico 3 (%IL2),7141.0,1.4123932222377817,1.0302547344728077,0.0,0.7,1.5,2.1,12.9
Armónicos IL2: Armónico 5 (%IL2),7141.0,7.4228959529477665,2.371491113134708,2.4,6.1,7.4,8.7,14.3
Armónicos IL2: Armónico 7 (%IL2),7141.0,2.503234841058675,1.2944275783628323,0.0,2.0,2.5,3.1,6.3
Armónicos IL2: Armónico 9 (%IL2),7141.0,0.0002660691779862764,0.014248172857267132,0.0,0.0,0.0,0.0,1.0
Armónicos IL2: Armónico 11 (%IL2),7141.0,0.03324464360733791,0.1741195223640756,0.0,0.0,0.0,0.0,1.4
Armónicos IL2: Armónico 13 (%IL2),7141.0,0.4732110348690659,0.4178082855105196,0.0,0.0,0.5,0.7,1.7
Armónicos VL1: Armónico 2 (%VL1),7141.0,9.802548662652289e-05,0.0035490043216345334,0.0,0.0,0.0,0.0,0.2
Armónicos VL1: Armónico 3 (%VL1),7141.0,0.09446856182607477,0.10547445705636378,0.0,0.0,0.0,0.2,0.5
Armónicos VL1: Armónico 5 (%VL1),7141.0,0.7203752975773701,0.3537722673065189,0.2,0.4,0.7,0.9,1.7
Armónicos VL1: Armónico 7 (%VL1),7141.0,1.0211034869065956,0.2551183897533864,0.5,0.8,1.0,1.2,1.6
Armónicos VL1: Armónico 9 (%VL1),7141.0,4.201092283993839e-05,0.0020493695390152796,0.0,0.0,0.0,0.0,0.1
Armónicos VL1: Armónico 11 (%VL1),7141.0,0.06506091583811792,0.08899744945013263,0.0,0.0,0.0,0.1,0.3
Armónicos VL1: Armónico 13 (%VL1),7141.0,0.011581011062876347,0.03345687969661294,0.0,0.0,0.0,0.0,0.2
Armónicos VL2: Armónico 2 (%VL2),7141.0,0.00012603276851981516,0.004581759146650735,0.0,0.0,0.0,0.0,0.2
Armónicos VL2: Armónico 3 (%VL2),7141.0,0.018722867945665876,0.05639341667935127,0.0,0.0,0.0,0.0,0.6
Armónicos VL2: Armónico 5 (%VL2),7141.0,0.852989777342109,0.42563326823350556,0.2,0.5,0.8,1.0,2.0
Armónicos VL2: Armónico 7 (%VL2),7141.0,1.3797507351911495,0.29385202651777825,0.7,1.2,1.4,1.6,2.1
Armónicos VL2: Armónico 9 (%VL2),7141.0,0.0716146198011483,0.07625356072293384,0.0,0.0,0.1,0.1,0.2
Armónicos VL2: Armónico 11 (%VL2),7141.0,0.17952667693600335,0.07140722386547586,0.0,0.1,0.2,0.2,0.4
