metric,method,k,silhouette
euclidean,ward,2,0.3190719121383353
euclidean,ward,3,0.21976964771820534
euclidean,ward,4,0.2417432375889404
euclidean,ward,5,0.2812012173824181
euclidean,ward,6,0.31400088806878
euclidean,average,2,0.730729642419789
euclidean,average,3,0.6459922815222421
euclidean,average,4,0.643427200779111
euclidean,average,5,0.5916686208400098
euclidean,average,6,0.5899164094732048
euclidean,complete,2,0.730729642419789
euclidean,complete,3,0.6600371230966242
euclidean,complete,4,0.643427200779111
euclidean,complete,5,0.5916686208400098
euclidean,complete,6,0.18423539105877407
mahalanobis,ward,2,0.2291031140390956
mahalanobis,ward,3,0.24856377734264437
mahalanobis,ward,4,0.11539933133108084
mahalanobis,ward,5,0.1369443555415401
mahalanobis,ward,6,0.1138093793114652
mahalanobis,average,2,0.5900911791369433
mahalanobis,average,3,0.5920433508878346
mahalanobis,average,4,0.5921277519181233
mahalanobis,average,5,0.5916686208400098
mahalanobis,average,6,0.3635273161561796
mahalanobis,complete,2,0.5900911791369433
mahalanobis,complete,3,0.5920433508878346
mahalanobis,complete,4,0.5921277519181233
mahalanobis,complete,5,0.5473048219470037
mahalanobis,complete,6,0.3635273161561796
