,n_unique,unique_ratio,variance,variance_score,stability_score,trend_score,correlation_score,final_score
tension_l1_v,1081.0,0.15137935863324464,6.024947295594894,0.29510917203764886,0.7470489792748378,0.00017710413173830888,0.3680608966294692,0.36369805518412807
tension_l2_v,1209.0,0.16930401904495168,7.610963840057238,0.3645176913634124,0.775973200506509,0.0001803453776577344,0.36616953797551993,0.39484446877445717
tension_l3_v,1117.0,0.15642066937403726,6.4356233650317725,0.3138240388340994,0.7563394459907096,0.00018581625081911659,0.3733122808235874,0.3736228945044935
tension_l1_l2_v,1845.0,0.25836717546562105,21.50273024222376,0.8044615056397335,0.7696630584926769,0.000182749938508139,0.36795206677695885,0.5476042549401693
tension_l2_l3_v,1834.0,0.25682677496149,21.252648640603418,0.7967950637461503,0.7671408314467763,0.00018651989772910287,0.3702573355774965,0.5447522512678917
tension_l3_l1_v,1710.0,0.2394622601876488,17.393217469008608,0.697309786758774,0.7431685050231208,0.00017360551647058105,0.36945079096311134,0.5037754309172675
corriente_l1_a,3686.0,0.5161742052933763,10772.499259287071,4.792597295783705,0.903109597828671,0.00018579892051833762,0.2171713722347474,1.9466578872125175
corriente_l2_a,4317.0,0.6045371796667134,19419.40953520725,5.969248372198721,0.8678649671867851,0.00010935170210769105,0.3634293924591991,2.3789109208985093
corriente_l3_a,4595.0,0.6434673014983896,17698.46433966064,6.293940059353399,0.8591354335647567,0.00011221454597909419,0.3565263640820383,2.4889905948904825
factor_de_potencia_l1,232.0,0.032488446996219014,0.002332288773434034,7.568421573976339e-05,0.7942344084773506,0.00014047412032448816,0.23055587754345397,0.24472436192760227
factor_de_potencia_l2,194.0,0.02716706343649349,0.0017460416864070944,4.739346180744623e-05,0.8148368234895829,5.956601937468592e-06,0.17276444851797204,0.23827987460801023
factor_de_potencia_l3,192.0,0.026886990617560565,0.0012196335887722958,3.2772295821740134e-05,0.771512590397773,2.165881042980001e-05,0.18222184952923412,0.2293383195709136
flicker_pst_l1_pst,10.0,0.0014003640946646128,0.02040304834158842,2.828412642446836e-05,0.187644766539812,3.0074594369535472e-05,0.12458474544024316,0.0718440550861241
flicker_pst_l2_pst,9.0,0.0012603276851981516,0.02160623219684177,2.6940923583071556e-05,0.1401994133753386,8.009487555735932e-05,0.10513019873069042,0.05610134138833828
flicker_pst_l3_pst,10.0,0.0014003640946646128,0.020771105303065078,2.8789143361224108e-05,0.1399993341284096,5.188293803791688e-05,0.12170114324470185,0.05936051496882678
distorsion_armonica_vl1_v_thd,16.0,0.0022405825514633807,0.09949602190687225,0.00021252354104634732,0.7892856128008605,0.00015400705522783042,0.29454395554407936,0.2563353789594428
distorsion_armonica_vl2_v_thd,18.0,0.002520655370396303,0.14349693116288664,0.00033799732720570164,0.7963221219779573,0.00016921791052595172,0.3103140370595825,0.261295480553033
